validfrom,weather_shortwave_radiation,weather_direct_normal_irradiance,weather_diffuse_radiation,weather_cloud_cover,weather_cloud_cover_low,weather_wind_speed_10m,weather_wind_speed_100m,weather_wind_direction_100m,weather_wind_gusts_10m,weather_temperature_2m,weather_apparent_temperature,weather_precipitation
2026-02-19 00:00:00+00:00,0.0,0.0,0.0,100,0,7.0,11.5,92,12.0,0.5,-5.6,0.0
2026-02-19 01:00:00+00:00,0.0,0.0,0.0,100,2,7.4,12.0,94,12.6,0.4,-5.9,0.0
2026-02-19 02:00:00+00:00,0.0,0.0,0.0,100,14,7.3,11.9,92,12.8,0.5,-5.8,0.0
2026-02-19 03:00:00+00:00,0.0,0.0,0.0,100,22,7.7,12.4,96,13.3,0.4,-6.1,0.0
2026-02-19 04:00:00+00:00,0.0,0.0,0.0,100,32,7.7,12.6,96,13.2,0.5,-6.1,0.0
2026-02-19 05:00:00+00:00,0.0,0.0,0.0,100,69,7.7,12.4,95,13.4,0.4,-6.1,0.1
2026-02-19 06:00:00+00:00,0.0,0.0,0.0,100,87,7.6,12.2,92,13.1,0.2,-6.2,0.2
2026-02-19 07:00:00+00:00,0.0,0.0,0.0,100,89,7.2,11.7,92,13.0,-0.1,-6.3,0.4
2026-02-19 08:00:00+00:00,12.0,0.0,12.0,100,100,7.5,12.2,94,12.8,0.2,-6.1,0.3
2026-02-19 09:00:00+00:00,24.0,0.7,23.9,100,100,7.5,12.2,97,12.9,0.8,-5.4,0.3
2026-02-19 10:00:00+00:00,53.0,6.5,50.8,100,100,7.2,11.6,97,12.7,1.4,-4.7,0.1
2026-02-19 11:00:00+00:00,100.0,22.0,91.1,100,68,7.1,11.3,97,12.3,2.1,-4.0,0.0
2026-02-19 12:00:00+00:00,112.0,23.8,101.5,100,90,7.5,11.9,100,12.8,2.5,-3.8,0.0
2026-02-19 13:00:00+00:00,105.0,20.6,96.0,100,100,7.3,11.7,97,13.0,2.6,-3.6,0.0
2026-02-19 14:00:00+00:00,88.0,17.1,81.3,100,100,6.8,11.1,94,12.5,2.8,-3.2,0.0
2026-02-19 15:00:00+00:00,99.0,42.0,86.0,86,29,5.4,8.9,87,11.5,2.8,-2.4,0.0
2026-02-19 16:00:00+00:00,95.0,112.1,73.1,99,7,5.4,9.3,86,9.1,2.5,-2.7,0.0
2026-02-19 17:00:00+00:00,27.0,36.2,23.3,99,1,5.5,10.2,92,9.2,1.8,-3.4,0.0
2026-02-19 18:00:00+00:00,0.0,0.0,0.0,100,0,5.2,10.0,99,10.0,1.4,-3.7,0.0
2026-02-19 19:00:00+00:00,0.0,0.0,0.0,100,1,4.0,8.3,99,8.7,1.2,-3.4,0.0
2026-02-19 20:00:00+00:00,0.0,0.0,0.0,100,2,4.2,8.6,109,7.6,1.0,-3.6,0.0
2026-02-19 21:00:00+00:00,0.0,0.0,0.0,100,0,4.3,8.9,113,7.2,0.9,-3.8,0.0
2026-02-19 22:00:00+00:00,0.0,0.0,0.0,49,0,5.1,9.7,115,8.4,0.8,-4.4,0.0
2026-02-19 23:00:00+00:00,0.0,0.0,0.0,7,0,4.1,8.3,121,8.9,0.3,-4.4,0.0
2026-02-20 00:00:00+00:00,0.0,0.0,0.0,100,1,3.4,7.5,127,6.8,-0.1,-4.4,0.0
2026-02-20 01:00:00+00:00,0.0,0.0,0.0,100,100,4.5,8.6,126,7.5,-0.0,-4.9,0.0
